ENSEMBL_GENE	SYMBOL	ENSEMBL_PROTEIN	ENSEMBL_TRANSCRIPT
ENSG00000135605	TEC	ENSP00000370912	ENST00000381501
ENSG00000134853	PDGFRA	ENSP00000257290	ENST00000257290
ENSG00000157404	KIT	ENSP00000288135	ENST00000288135
ENSG00000128052	KDR	ENSP00000263923	ENST00000263923
ENSG00000084093	REST	ENSP00000502313	ENST00000675105
ENSG00000163629	PTPN13	ENSP00000394794	ENST00000436978
ENSG00000172493	AFF1	ENSP00000378578	ENST00000395146
ENSG00000138698	RAP1GDS1	ENSP00000340454	ENST00000339360
ENSG00000138814	PPP3CA	ENSP00000378323	ENST00000394854
ENSG00000168769	TET2	ENSP00000442788	ENST00000540549
ENSG00000138795	LEF1	ENSP00000265165	ENST00000265165
ENSG00000073331	ALPK1	ENSP00000498374	ENST00000650871
ENSG00000196159	FAT4	ENSP00000501473	ENST00000674496
ENSG00000145425	RPS3A	ENSP00000346050	ENST00000274065
ENSG00000109670	FBXW7	ENSP00000474725	ENST00000603548
ENSG00000038295	TLL1	ENSP00000061240	ENST00000061240
ENSG00000083857	FAT1	ENSP00000406229	ENST00000441802
ENSG00000073578	SDHA	ENSP00000264932	ENST00000264932
ENSG00000164362	TERT	ENSP00000309572	ENST00000310581
ENSG00000169862	CTNND2	ENSP00000307134	ENST00000304623
ENSG00000040731	CDH10	ENSP00000264463	ENST00000264463
ENSG00000113360	DROSHA	ENSP00000425979	ENST00000511367
ENSG00000168685	IL7R	ENSP00000306157	ENST00000303115
ENSG00000164190	NIPBL	ENSP00000282516	ENST00000282516
ENSG00000113594	LIFR	ENSP00000398368	ENST00000453190
ENSG00000134352	IL6ST	ENSP00000370698	ENST00000381298
ENSG00000095015	MAP3K1	ENSP00000382423	ENST00000399503
ENSG00000145675	PIK3R1	ENSP00000428056	ENST00000521381
ENSG00000145715	RASA1	ENSP00000274376	ENST00000274376
ENSG00000134982	APC	ENSP00000257430	ENST00000257430
ENSG00000138829	FBN2	ENSP00000424571	ENST00000508053
ENSG00000164398	ACSL6	ENSP00000498260	ENST00000651356
ENSG00000125347	IRF1	ENSP00000245414	ENST00000245414
ENSG00000120733	KDM3B	ENSP00000326563	ENST00000314358
ENSG00000182578	CSF1R	ENSP00000286301	ENST00000286301
ENSG00000113721	PDGFRB	ENSP00000261799	ENST00000261799
ENSG00000086570	FAT2	ENSP00000261800	ENST00000261800
ENSG00000164330	EBF1	ENSP00000322898	ENST00000313708
ENSG00000170234	PWWP2A	ENSP00000305151	ENST00000307063
ENSG00000160867	FGFR4	ENSP00000292408	ENST00000292408
ENSG00000165671	NSD1	ENSP00000395929	ENST00000439151
ENSG00000037280	FLT4	ENSP00000261937	ENST00000261937
ENSG00000137265	IRF4	ENSP00000370343	ENST00000380956
ENSG00000137275	RIPK1	ENSP00000259808	ENST00000259808
ENSG00000096696	DSP	ENSP00000369129	ENST00000379802
ENSG00000153162	BMP6	ENSP00000283147	ENST00000283147
ENSG00000286522	H3C2	ENSP00000484841	ENST00000621411
ENSG00000206503	HLA-A	ENSP00000379873	ENST00000396634
ENSG00000204525	HLA-C	ENSP00000365402	ENST00000376228
ENSG00000234745	HLA-B	ENSP00000399168	ENST00000412585
ENSG00000227507	LTB	ENSP00000410481	ENST00000429299
ENSG00000204209	DAXX	ENSP00000266000	ENST00000266000
ENSG00000124762	CDKN1A	ENSP00000384849	ENST00000405375
ENSG00000137193	PIM1	ENSP00000362608	ENST00000373509
ENSG00000112561	TFEB	ENSP00000351742	ENST00000358871
ENSG00000112576	CCND3	ENSP00000362082	ENST00000372991
ENSG00000096384	HSP90AB1	ENSP00000360609	ENST00000371554
ENSG00000146232	NFKBIE	ENSP00000275015	ENST00000275015
ENSG00000135333	EPHA7	ENSP00000358309	ENST00000369303
ENSG00000057657	PRDM1	ENSP00000358092	ENST00000369096
ENSG00000118689	FOXO3	ENSP00000339527	ENST00000343882
ENSG00000047936	ROS1	ENSP00000357494	ENST00000368508
ENSG00000152894	PTPRK	ENSP00000432973	ENST00000532331
ENSG00000112282	MED23	ENSP00000357047	ENST00000368068
ENSG00000118515	SGK1	ENSP00000356832	ENST00000367858
ENSG00000029363	BCLAF1	ENSP00000435210	ENST00000531224
ENSG00000118503	TNFAIP3	ENSP00000481570	ENST00000612899
ENSG00000131023	LATS1	ENSP00000437550	ENST00000543571
ENSG00000091831	ESR1	ENSP00000405330	ENST00000440973
ENSG00000049618	ARID1B	ENSP00000498155	ENST00000647938
ENSG00000198670	LPA	ENSP00000321334	ENST00000316300
ENSG00000112531	QKI	ENSP00000355094	ENST00000361752
ENSG00000130396	AFDN	ENSP00000355771	ENST00000366806
ENSG00000198286	CARD11	ENSP00000380150	ENST00000396946
ENSG00000122512	PMS2	ENSP00000265849	ENST00000265849
ENSG00000136238	RAC1	ENSP00000348461	ENST00000356142
ENSG00000006468	ETV1	ENSP00000405327	ENST00000430479
ENSG00000183742	MACC1	ENSP00000383185	ENST00000400331
ENSG00000122566	HNRNPA2B1	ENSP00000346694	ENST00000354667
ENSG00000122643	NT5C3A	ENSP00000476480	ENST00000610140
ENSG00000185811	IKZF1	ENSP00000331614	ENST00000331340
ENSG00000146648	EGFR	ENSP00000275493	ENST00000275493
ENSG00000173041	ZNF680	ENSP00000309330	ENST00000309683
ENSG00000049540	ELN	ENSP00000351807	ENST00000358929
ENSG00000263001	GTF2I	ENSP00000460070	ENST00000573035
ENSG00000127946	HIP1	ENSP00000336747	ENST00000336926
ENSG00000198822	GRM3	ENSP00000355316	ENST00000361669
ENSG00000127914	AKAP9	ENSP00000348573	ENST00000356239
ENSG00000196367	TRRAP	ENSP00000352925	ENST00000359863
ENSG00000257923	CUX1	ENSP00000353401	ENST00000360264
ENSG00000105976	MET	ENSP00000317272	ENST00000318493
ENSG00000128513	POT1	ENSP00000350249	ENST00000357628
ENSG00000128602	SMO	ENSP00000249373	ENST00000249373
ENSG00000122779	TRIM24	ENSP00000340507	ENST00000343526
ENSG00000157764	BRAF	ENSP00000419060	ENST00000496384
ENSG00000106462	EZH2	ENSP00000320147	ENST00000320356
ENSG00000055609	KMT2C	ENSP00000262189	ENST00000262189
ENSG00000104728	ARHGEF10	ENSP00000431012	ENST00000518288
ENSG00000078674	PCM1	ENSP00000327077	ENST00000325083
ENSG00000186918	ZNF395	ENSP00000340494	ENST00000344423
ENSG00000157168	NRG1	ENSP00000287842	ENST00000287842
ENSG00000147548	NSD3	ENSP00000313983	ENST00000317025
ENSG00000077782	FGFR1	ENSP00000393312	ENST00000425967
ENSG00000029534	ANK1	ENSP00000265709	ENST00000265709
ENSG00000083168	KAT6A	ENSP00000265713	ENST00000265713
ENSG00000104365	IKBKB	ENSP00000430684	ENST00000520810
ENSG00000168300	PCMTD1	ENSP00000353739	ENST00000360540
ENSG00000164736	SOX17	ENSP00000297316	ENST00000297316
ENSG00000254087	LYN	ENSP00000428924	ENST00000519728
ENSG00000181690	PLAG1	ENSP00000325546	ENST00000316981
ENSG00000137575	SDCBP	ENSP00000428184	ENST00000523483
ENSG00000046889	PREX2	ENSP00000288368	ENST00000288368
ENSG00000140396	NCOA2	ENSP00000399968	ENST00000452400
ENSG00000079102	RUNX1T1	ENSP00000402257	ENST00000436581
ENSG00000070756	PABPC1	ENSP00000313007	ENST00000318607
ENSG00000104517	UBR5	ENSP00000429084	ENST00000520539
ENSG00000164935	DCSTAMP	ENSP00000297581	ENST00000297581
ENSG00000147655	RSPO2	ENSP00000276659	ENST00000276659
ENSG00000104408	EIF3E	ENSP00000220849	ENST00000220849
ENSG00000164796	CSMD3	ENSP00000297405	ENST00000297405
ENSG00000164754	RAD21	ENSP00000297338	ENST00000297338
ENSG00000136997	MYC	ENSP00000478887	ENST00000621592
ENSG00000147724	FAM135B	ENSP00000378710	ENST00000395297
ENSG00000197858	GPAA1	ENSP00000347206	ENST00000355091
ENSG00000160957	RECQL4	ENSP00000482313	ENST00000617875
ENSG00000080503	SMARCA2	ENSP00000371638	ENST00000382203
ENSG00000096968	JAK2	ENSP00000371067	ENST00000381652
ENSG00000120217	CD274	ENSP00000370989	ENST00000381577
ENSG00000197646	PDCD1LG2	ENSP00000380855	ENST00000397747
ENSG00000153707	PTPRD	ENSP00000370593	ENST00000381196
ENSG00000147862	NFIB	ENSP00000370340	ENST00000380953
ENSG00000164985	PSIP1	ENSP00000370114	ENST00000380738
ENSG00000171843	MLLT3	ENSP00000369695	ENST00000380338
ENSG00000147889	CDKN2A	ENSP00000418915	ENST00000498124
ENSG00000122728	TAF1L	ENSP00000418379	ENST00000242310
ENSG00000196092	PAX5	ENSP00000350844	ENST00000358127
ENSG00000156052	GNAQ	ENSP00000286548	ENST00000286548
ENSG00000165238	WNK2	ENSP00000297954	ENST00000297954
ENSG00000158169	FANCC	ENSP00000289081	ENST00000289081
ENSG00000185920	PTCH1	ENSP00000332353	ENST00000331920
ENSG00000106799	TGFBR1	ENSP00000447297	ENST00000552516
ENSG00000186051	TAL2	ENSP00000334547	ENST00000334077
ENSG00000136826	KLF4	ENSP00000363804	ENST00000374672
ENSG00000070159	PTPN3	ENSP00000363667	ENST00000374541
ENSG00000041982	TNC	ENSP00000265131	ENST00000350763
ENSG00000119397	CNTRL	ENSP00000362962	ENST00000373855
ENSG00000119414	PPP6C	ENSP00000392147	ENST00000451402
ENSG00000097007	ABL1	ENSP00000361423	ENST00000372348
ENSG00000126883	NUP214	ENSP00000352400	ENST00000359428
ENSG00000165699	TSC1	ENSP00000298552	ENST00000298552
ENSG00000186350	RXRA	ENSP00000419692	ENST00000481739
ENSG00000148400	NOTCH1	ENSP00000498587	ENST00000651671
ENSG00000182162	P2RY8	ENSP00000370697	ENST00000381297
ENSG00000205542	TMSB4X	ENSP00000370010	ENST00000380636
ENSG00000169249	ZRSR2	ENSP00000303015	ENST00000307771
ENSG00000173674	EIF1AX	ENSP00000368927	ENST00000379607
ENSG00000177189	RPS6KA3	ENSP00000368884	ENST00000379565
ENSG00000183337	BCOR	ENSP00000367705	ENST00000378444
ENSG00000124486	USP9X	ENSP00000316357	ENST00000324545
ENSG00000215301	DDX3X	ENSP00000487224	ENST00000629496
ENSG00000147050	KDM6A	ENSP00000367203	ENST00000377967
ENSG00000182872	RBM10	ENSP00000328848	ENST00000329236
ENSG00000078061	ARAF	ENSP00000290277	ENST00000290277
ENSG00000015285	WAS	ENSP00000365891	ENST00000376701
ENSG00000126012	KDM5C	ENSP00000364550	ENST00000375401
ENSG00000072501	SMC1A	ENSP00000323421	ENST00000322213
ENSG00000102302	FGD1	ENSP00000364277	ENST00000375135
ENSG00000198455	ZXDB	ENSP00000364023	ENST00000374888
ENSG00000184675	AMER1	ENSP00000364003	ENST00000374869
ENSG00000147065	MSN	ENSP00000353408	ENST00000360270
ENSG00000169083	AR	ENSP00000363822	ENST00000374690
ENSG00000184634	MED12	ENSP00000363193	ENST00000374080
ENSG00000147130	ZMYM3	ENSP00000322845	ENST00000314425
ENSG00000085224	ATRX	ENSP00000362441	ENST00000373344
ENSG00000010671	BTK	ENSP00000483570	ENST00000621635
ENSG00000123572	NRK	ENSP00000434830	ENST00000243300
ENSG00000133124	IRS4	ENSP00000361202	ENST00000372129
ENSG00000101938	CHRDL1	ENSP00000361112	ENST00000372042
ENSG00000077721	UBE2A	ENSP00000360613	ENST00000371558
ENSG00000101972	STAG2	ENSP00000360187	ENST00000371145
ENSG00000198354	DCAF12L2	ENSP00000353128	ENST00000360028
ENSG00000102038	SMARCA1	ENSP00000360162	ENST00000371121
ENSG00000085185	BCORL1	ENSP00000437775	ENST00000540052
ENSG00000102034	ELF4	ENSP00000311280	ENST00000308167
ENSG00000156531	PHF6	ENSP00000329097	ENST00000332070
ENSG00000184216	IRAK1	ENSP00000358997	ENST00000369980
ENSG00000147403	RPL10	ENSP00000413436	ENST00000424325
