"pval"	"apval"	"SBS1"	"SBS5"	"SBS18"	"SBS40"	"SBS35"
"AQ5181_vs_AQ5175"	0.0192926544639214	0.154341235711371	162.452936671922	484.179737596823	418.262488085783	515.947417320825	63.1574203246465
"AQ5180_vs_AQ5174"	0.023358332838543	0.186866662708344	0	24.4772234039358	88.8453979752924	0	14.6773786207718
"AQ5188_vs_AQ5176"	0.122127334919154	0.97701867935323	100.719525895602	530.678747382379	0	392.601726722019	0
"AQ5187_vs_AQ5175"	0.468854958374942	1	49.3970143489679	56.0401025991186	0	59.5628830519134	0
"AQ5186_vs_AQ5174"	0.999999445387543	1	31.7926268785989	0	0	90.207373121401	0
"AW8051_vs_AW8061"	0.999999809769497	1	17.3941147044165	83.6058852955835	2.84924501390849e-29	6.42813210593115e-28	3.29315545946903e-28
"AQ5182_vs_AQ5176"	0.999999865486721	1	23.978849750651	35.3364147493867	7.68473549996239	1.61225369556605e-26	2.59413940380967e-22
"AW8050_vs_AW8061"	1	1	45.9006617747417	204.047065579755	4.51523833933608e-22	514.052272645503	2.12084743483209e-22
