"pval"	"apval"	"SBS1"	"SBS5"	"SBS18"	"SBS40"	"SBS35"
"AQ5187_vs_AQ5175"	4.00533559878523e-26	3.20426847902819e-25	179.742439943423	1382.70628026941	114.019686031049	7.36247739351155e-21	554.531593756114
"AW8050_vs_AW8061"	0.003377208386268	0.027017667090144	219.92392355081	490.730985992518	5.21852222584892e-21	1176.37817421848	83.966916238195
"AQ5181_vs_AQ5175"	0.0271543064234885	0.217234451387908	212.232850972808	696.267165740886	297.768056690017	0	52.7319265962894
"AQ5180_vs_AQ5174"	0.0446613742711048	0.357290994168838	84.609865959219	143.395147673462	719.201176535493	262.132166395444	42.6616434363814
"AQ5182_vs_AQ5176"	0.14817709801108	1	43.671289741685	67.328710258315	0	0	0
"AQ5186_vs_AQ5174"	0.256835512872275	1	70.8898618098383	1357.38446164548	150.725676544684	0	0
"AQ5188_vs_AQ5176"	0.788689021061185	1	40.7946979093433	0	0	53.2053020906567	0
"AW8051_vs_AW8061"	0.999998589212829	1	38.3481750886395	181.125838997106	50.5259859142542	0	0
