"pval"	"apval"	"SBS1"	"SBS5"	"SBS18"	"SBS40"	"SBS31"
"AQ5187_vs_AQ5175"	1.16731796152075e-27	9.33854369216603e-27	153.632826629258	982.093386364329	163.313380274455	0	931.960406731957
"AW8050_vs_AW8061"	0.0243415403247124	0.194732322597699	215.84864534093	425.50262299825	0	1193.59595741899	136.052774241833
"AQ5181_vs_AQ5175"	0.0565336150912369	0.452268920729895	223.551789338353	551.265395549954	267.780604795042	216.402210316651	0
"AQ5182_vs_AQ5176"	0.0599201930897229	0.479361544717784	43.8387042996512	57.9233250869682	9.2379706133806	0	0
"AQ5180_vs_AQ5174"	0.44879115276979	1	91.9563021690948	0	711.859210891983	448.184486938923	0
"AQ5188_vs_AQ5176"	0.935921472928147	1	40.7946979093433	0	0	53.2053020906567	0
"AQ5186_vs_AQ5174"	0.999996956311948	1	84.9427401135275	1114.16246905952	111.52010120062	268.374689626329	1.02770215516841e-21
"AW8051_vs_AW8061"	0.99999849009219	1	38.3481750886395	181.125838997106	50.5259859142542	0	0
